salesgrwoth,ltassets,gdpgrowth,debtassets,roa,liquidity,lemployee
0.131095,5.34373,7.76,0.39846554,0.301664,5.05112,2.38202
0.132693,5.36069,7.3,0.42890452,0.267565,3.47186,2.42813
0.103599,5.4256,6.9,0.493041585,0.186561,6.54919,2.46538
-0.337915,5.4101,6.7,0.522510784,0.18576,5.63905,2.4133
0.57462,5.70721,14.23,0.27314366,0.030423,0.895175,2.0607
-0.171514,5.72412,9.65,0.322930921,0.010432,0.922068,2.07188
0.010337,5.88336,9.4,0.396989033,0.038705,0.849548,2.10721
1.57095,6.01012,10.64,0.461812,0.00866,0.855302,2.12057
0.534269,6.00087,9.54,0.505746,0.008614,0.921825,2.15836
0.040975,5.23323,7.86,0.252590727,0.155962,0.38093,2.55991
-0.147227,5.24031,7.76,0.232581007,0.340549,0.560568,2.55991
-0.201718,5.2171,7.3,0.163327328,0.406992,0.587436,2.54531
-0.195204,5.36812,6.9,0.077344255,1.03578,0.888059,2.55751
-0.040588,5.35495,6.7,0.040806232,2.04419,2.1128,2.41162
-0.465298,5.12342,14.23,0.281713567,1.80065,2.51289,2.47857
-0.310338,5.18878,9.65,0.390919804,-0.961697,7.88452,2.45332
-0.123174,5.3285,9.4,0.305427135,0.318668,1.3035,2.44871
-0.234444,5.35355,10.64,0.877141604,-10.0846,0.915857,2.4624
0.16913,5.36803,9.54,1.003286711,-6.59515,2.45446,2.52244
3.19979,5.50351,7.86,0.848757658,0.241535,3.1055,2.56348
-0.553716,6.09777,7.76,0.236895385,69.7801,0.029665,2.59106
0.049409,5.63266,7.86,0.177718338,0.019798,1.42989,2.49831
0.145812,5.65008,7.76,0.169886495,0.018375,1.48212,2.5302
0.095676,5.73101,7.3,0.256353618,0.017706,1.34163,2.52114
-0.099622,5.6644,6.9,0.180238791,0.018009,1.4889,2.5092
-0.245567,5.66485,6.7,0.197610672,0.007879,1.37917,2.50651
0.630551,5.09079,10.64,0,-0.195045,0.895511,2.6561
0.577308,5.10348,9.54,0.016405973,0.021133,0.94936,2.67394
-0.570795,5.39855,7.86,0.117407629,0.503144,2.91799,2.03743
0.373253,5.54044,7.76,0.180860596,0.433898,2.05326,2.07555
-0.693004,5.73504,7.3,0.402798817,0.124379,1.69443,2.11394
6.79419,6.15151,6.9,0.435312857,0.139538,2.07002,2.18752
0.181816,6.29508,6.7,0.367697,0.13149,1.95331,2.19033
0.209741,4.86468,14.23,0.35836019,0.043005,1.10152,1.79934
0.184726,4.88008,9.65,0.285085407,0.042315,1.60696,1.82607
0.385968,4.91213,9.4,0.27515242,0.017363,1.77306,1.6902
0.16294,5.07802,10.64,0.363469251,0.002742,1.41328,1.66276
0.451455,5.11278,9.54,0.18688345,0.002767,1.41048,1.82607
-0.070617,5.13775,7.86,0.451990155,0.003501,1.46874,1.86923
0.17375,5.12373,7.76,0.414148403,0.00304,1.64619,1.90309
-0.003407,5.18501,7.3,0.435752913,0.003752,1.23595,1.91908
-0.153486,5.30831,6.9,0.495122479,0.005582,1.1967,1.92942
0.11549,5.28025,6.7,0.481977824,0.011552,1.23558,1.93952
-0.036716,5.20887,7.86,0.033240809,0.029875,8.40983,2.46687
0.054895,5.23608,7.76,0.015561762,0.043209,5.72725,2.46835
0.401897,5.27729,7.3,0.061016376,0.049382,4.10496,2.44716
0.256861,5.33759,6.9,0.09002744,0.050435,2.98557,2.69461
-0.047041,5.32339,6.7,0.079305678,0.05945,2.57145,2.617
0.002396,5.37597,7.86,0.108556161,0.18008,4.4135,2.64147
0.097893,5.38941,7.76,0.107339977,0.090235,4.50491,2.60423
0.114941,5.44332,7.3,0.081881269,0.030464,4.05527,2.64738
0.575316,5.5055,6.9,0.094721098,-0.073626,2.85159,2.57978
-0.394795,5.49681,6.7,0.124990841,0.055,4.35675,2.38382
-0.194453,5.21951,7.86,0,0.312406,16.4467,2.58771
-0.107289,5.23598,7.76,0,0.304266,23.049,2.58433
0.170614,5.276,7.3,0,0.324868,17.7936,2.5955
-0.282539,5.27186,6.9,0,0.405513,37.0282,2.59439
-0.531253,5.24762,6.7,0,0.150355,50.1413,2.51188
0.103458,4.75192,7.86,0.000531133,0.324353,13.0077,2.57864
-0.125031,4.73778,7.76,0,0.194646,23.0257,2.62428
0.080887,4.77038,7.3,0.019614497,0.081408,15.3764,2.64542
0.22178,4.76221,6.9,0.001400488,0.071522,20.4443,2.65801
0.086304,4.75663,6.7,0.02157656,0.015259,13.2197,2.69197
0.285245,4.76343,9.4,0.1765,0.016628,2.99318,2.5966
-0.629612,4.74155,10.64,0.20316948,0.037831,7.49693,2.61384
0.718055,4.67973,9.54,0.234231597,0.049284,15.0374,2.44716
0.212446,4.7019,7.86,0.202864578,0.014732,10.352,2.43933
-0.183289,4.67568,7.76,0.166135601,0.044617,15.8006,2.42488
-0.310317,4.6293,7.3,0.163023316,-0.330312,12.4785,2.41162
-0.500173,4.54932,6.9,0.19530853,-0.942137,9.83366,2.38382
-0.198789,5.93058,7.86,0.567080855,0.763409,2.36404,2.33041
0.052149,5.96961,7.76,0.576309123,0.864394,3.00725,2.31806
0.046131,6.01741,7.3,0.510901,0.765019,2.88462,2.27416
-0.084141,6.073,6.9,0.508316667,0.741916,2.94753,2.24551
-0.055664,6.02298,6.7,0.416033636,0.986099,5.30029,2.233
0.103453,4.43922,14.23,6.213363402,0.268877,0.036964,2.64345
0.249367,4.41731,9.65,6.666105585,-0.16378,0.04278,2.27416
0.0186,4.39583,9.4,7.457092327,-0.405504,0.046163,1.93952
0.145458,4.30621,10.64,7.894565217,0.215695,0.036215,1.92428
0.112278,4.31387,9.54,6.029708738,0.123778,0.042672,1.92428
